TID;ALDER;KØN;INDHOLD
2020K4;79 år;Mænd;17862
2020K4;79 år;Kvinder;21463
2020K4;80 år;Mænd;16876
2020K4;80 år;Kvinder;20095
2020K4;81 år;Mænd;14925
2020K4;81 år;Kvinder;18589
2020K4;82 år;Mænd;13649
2020K4;82 år;Kvinder;17391
2020K4;83 år;Mænd;11808
2020K4;83 år;Kvinder;15855
2020K4;84 år;Mænd;10266
2020K4;84 år;Kvinder;14003
2020K4;85 år;Mænd;8889
2020K4;85 år;Kvinder;12780
2020K4;86 år;Mænd;7479
2020K4;86 år;Kvinder;11066
2020K4;87 år;Mænd;6227
2020K4;87 år;Kvinder;9764
2020K4;88 år;Mænd;5203
2020K4;88 år;Kvinder;8652
2020K4;89 år;Mænd;4238
2020K4;89 år;Kvinder;7635
2020K4;90 år;Mænd;3341
2020K4;90 år;Kvinder;6425
2020K4;91 år;Mænd;2740
2020K4;91 år;Kvinder;5572
2020K4;92 år;Mænd;2132
2020K4;92 år;Kvinder;4681
2020K4;93 år;Mænd;1600
2020K4;93 år;Kvinder;3923
2020K4;94 år;Mænd;1201
2020K4;94 år;Kvinder;3236
2020K4;95 år;Mænd;801
2020K4;95 år;Kvinder;2522
2020K4;96 år;Mænd;534
2020K4;96 år;Kvinder;1876
2020K4;97 år;Mænd;344
2020K4;97 år;Kvinder;1374
2020K4;98 år;Mænd;208
2020K4;98 år;Kvinder;931
2020K4;99 år;Mænd;145
2020K4;99 år;Kvinder;657
2020K4;100 år;Mænd;90
2020K4;100 år;Kvinder;471
2020K4;101 år;Mænd;52
2020K4;101 år;Kvinder;228
2020K4;102 år;Mænd;30
2020K4;102 år;Kvinder;148
2020K4;103 år;Mænd;8
2020K4;103 år;Kvinder;68
2020K4;104 år;Mænd;7
2020K4;104 år;Kvinder;55
2020K4;105 år;Mænd;1
2020K4;105 år;Kvinder;23
2020K4;106 år;Mænd;2
2020K4;106 år;Kvinder;16
2020K4;107 år;Mænd;0
2020K4;107 år;Kvinder;8
2020K4;108 år;Mænd;1
2020K4;108 år;Kvinder;2
2020K4;109 år;Mænd;0
2020K4;109 år;Kvinder;0
2020K4;110 år;Mænd;0
2020K4;110 år;Kvinder;1
